UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
138868,0,52,15,11,16,10,0,0
138901,0,32,3,6,6,13,1,3
138929,0,20,5,10,5,0,0,0
138947,0,190,39,73,38,31,9,0
138956,0,126,0,0,0,0,0,126
139144,0,165,39,54,52,7,13,0
139153,0,7,3,0,4,0,0,0
139199,0,142,23,54,61,4,0,0
139205,0,31,5,7,18,0,1,0
139250,0,100,16,25,35,4,19,1
139278,0,134,0,0,0,134,0,0
139311,0,209,66,48,46,10,38,1
139348,0,22,10,9,2,0,1,0
139357,0,91,0,0,0,91,0,0
139366,0,313,100,79,63,30,40,1
139384,0,126,0,0,0,0,0,126
139393,0,59,29,17,11,0,0,2
139463,0,139,42,45,47,0,5,0
139579,0,26,1,3,20,2,0,0
139621,0,49,19,21,3,6,0,0
139630,0,41,11,14,13,3,0,0
139658,0,1616,614,387,388,88,134,5
139700,0,113,39,30,33,10,0,1
139719,0,112,31,25,40,5,4,7
139755,0,1084,431,239,185,0,92,137
139764,0,119,34,28,25,1,31,0
139861,0,336,108,74,70,2,81,1
139931,0,950,234,273,208,67,168,0
139940,0,1303,306,300,243,55,192,207
139959,0,2190,730,519,377,70,330,164
139968,0,81,40,16,15,1,9,0
139986,0,103,0,0,0,0,0,103
139995,0,6,0,0,0,6,0,0
140012,0,125,0,0,2,123,0,0
140146,0,16,8,7,1,0,0,0
140234,0,56,18,16,22,0,0,0
140243,0,113,0,0,0,113,0,0
140252,0,121,14,30,76,1,0,0
140331,0,189,0,0,0,0,0,189
140340,0,10,3,2,5,0,0,0
140447,0,464,132,140,160,14,18,0
140553,0,144,36,51,56,1,0,0
140562,0,260,87,80,71,22,0,0
140571,0,5,1,1,3,0,0,0
140678,0,67,0,0,0,0,0,67
140696,0,93,18,13,29,5,28,0
140720,0,23,2,4,11,6,0,0
140818,0,93,33,30,27,3,0,0
140872,0,73,12,14,37,7,3,0
140942,0,105,0,0,0,0,0,105
140951,0,695,695,0,0,0,0,0
140960,0,131,26,34,45,14,8,4
140988,0,76,11,26,35,2,0,2
141006,0,58,0,0,0,58,0,0
141060,0,192,29,58,49,18,38,0
141167,0,48,6,11,20,11,0,0
141185,0,42,12,8,22,0,0,0
141237,0,51,11,17,17,5,0,1
141255,0,129,0,0,0,129,0,0
141264,0,396,136,81,87,14,76,2
141325,0,51,18,19,11,0,0,3
141334,0,467,152,101,95,32,85,2
141361,0,63,14,21,20,8,0,0
141486,0,91,20,34,26,0,11,0
141565,0,179,75,57,26,21,0,0
141574,0,1056,444,290,209,113,0,0
141644,0,164,21,43,68,11,21,0
141680,0,80,20,20,26,14,0,0
141796,0,158,48,28,45,37,0,0
141802,0,41,9,5,21,6,0,0
141811,0,126,38,28,38,22,0,0
141839,0,70,15,12,22,21,0,0
141981,0,85,30,22,22,11,0,0
141990,0,49,16,7,14,12,0,0
142054,0,21,0,0,0,21,0,0
142090,0,7,7,0,0,0,0,0
142115,0,830,199,230,175,19,154,53
142179,0,60,0,0,0,57,0,3
