UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
497790,90,,96,3,4,3,4,,2
497824,4822,,,161,,161,,,2
497833,6273,,,209,,209,,,2
497888,,29493,,33,,33,,,1
497897,,177960,,198,,198,,,1
497903,,4500,,5,,5,,,1
497912,3637,,,121,,121,,,2
497949,9792,,,326,,326,,,2
497958,9432,,,314,,314,,,2
498003,,148500,,165,,165,,,1
498012,,101700,,113,,113,,,1
498049,3971,,,132,,132,,,2
498085,298,,,10,,10,,,2
498094,469,,,16,,16,,,2
498100,509,,,17,,17,,,2
498234,,,460,,19,,14,127,-2
