UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
152673,185,11608943,0,0,0,0,6,281528,30,3794117,27,1661118,18,1008648,54,2674705,5,253200,5,176280,11,676475,29,1082872,0,0,0,0
152798,32,2192721,0,0,0,0,11,628062,6,884202,2,145030,1,73986,0,0,0,0,5,173283,0,0,7,288158,0,0,0,0
152992,115,5311686,0,0,0,0,4,168705,37,2502109,2,85560,2,133700,39,1337606,0,0,14,431001,0,0,11,397271,4,172215,2,83519
153001,198,9953134,1,74000,0,0,37,1579157,10,1579490,15,818133,7,470804,50,2432319,4,188320,36,1171885,15,747889,23,891137,0,0,0,0
153108,231,10392132,0,0,0,0,10,698621,29,2610283,22,1112503,11,628714,61,1967827,4,161302,68,2291885,1,43544,20,610329,4,225202,1,41922
153126,161,7375319,0,0,0,0,6,279816,23,2128267,8,429208,5,252070,45,1933409,4,139531,33,880336,0,0,32,1090409,5,242273,0,0
153144,196,9687638,0,0,0,0,27,1265456,32,3101666,6,335860,7,396378,54,2113484,5,228522,30,947274,0,0,29,954987,5,307528,1,36483
153162,175,9719758,0,0,0,0,30,1317380,25,2707507,26,1353004,11,694995,39,1755407,8,327840,15,723558,0,0,21,840067,0,0,0,0
153214,506,35014016,0,0,0,0,84,6074382,51,6615018,29,2480176,44,3697869,77,5190797,2,145138,61,2801900,0,0,120,5741883,32,1906880,6,359973
153241,20,1061440,0,0,0,0,1,52270,2,151742,2,106186,1,67796,0,0,0,0,2,75000,0,0,11,560624,1,47822,0,0
153250,129,7273964,0,0,0,0,7,305216,28,2398808,10,594893,9,544137,41,2040047,1,62897,7,257312,2,72757,17,688773,5,249179,2,59945
153269,662,36862564,4,167600,0,0,85,4248387,61,7712034,48,2915872,76,4369426,73,3967407,2,167000,88,3093035,1,38500,199,9134921,23,984027,2,64355
153278,290,14994106,2,102750,0,0,58,1754338,44,4266660,10,488769,8,452937,43,2195280,2,86025,53,1906590,16,867403,43,2330054,11,543300,0,0
153296,45,1953480,0,0,0,0,14,631478,5,413888,1,51625,0,0,2,79146,0,0,11,279740,0,0,5,199837,7,297766,0,0
